# id|risk|source_file|test_file|required_test|mutation_focus
replay-checks|replay acceptance or skipped-key reuse|crates/hydra-session/src/session/receive.rs|crates/hydra-session/src/tests/send_receive_parts/part_1.rs|bounded_out_of_order_and_skipped_keys_are_one_use|invert replay/skip-key acceptance and gap-bound comparisons
domain-separation-labels|cross-context signature/key reuse|crates/hydra-group/src/message/signature.rs|crates/hydra-group/src/message/tests/part_1.rs|group_signature_digest_binds_mode_and_envelope_class|replace or remove mode/class/domain-label inputs
generation-rollback-checks|stale encrypted state accepted|crates/hydra-msg/src/persistence/rollback.rs|crates/hydra-msg/src/tests/storage_parts/part_1.rs|encrypted_state_detects_local_replay_after_newer_commit|invert generation comparison or skip rollback evidence check
signature-verification|forged group or handshake signature accepted|crates/hydra-group/src/message/signature.rs|crates/hydra-group/src/message/tests/part_1.rs|invalid_group_sender_signature_preserves_receiver_state|remove ML-DSA verification or accept wrong key
fragment-reassembly|duplicate/conflicting/oversized fragments accepted|crates/hydra-msg/src/packet_fragments/reassembly.rs|crates/hydra-msg/src/packet_fragments/reassembly/tests.rs|conflicting_duplicate_fragment_discards_incomplete_message|invert duplicate comparison or bypass incomplete-message limits
group-membership-rekey|unauthorized membership or missing TreeKEM path accepted|crates/hydra-group/src/commit/validation.rs|crates/hydra-group/src/commit/tests/part_1.rs|governance_signature_threshold_order_and_authorization_are_enforced|remove signer authorization/threshold/order checks
group-treekem-rekey|TreeKEM self-update without path accepted|crates/hydra-group/src/commit/prepare.rs|crates/hydra-group/src/commit/tests/part_2.rs|treekem_commit_requires_update_path|remove MissingUpdatePath rejection
handshake-init-idempotency|duplicate INIT creates a second responder session or fresh cryptographic response|crates/hydra-msg/src/handshake/initiate.rs|crates/hydra-msg/src/tests/handshake_lifecycle.rs|duplicate_init_returns_identical_cached_resp_and_never_rekeys|bypass accepted-INIT cache reuse or replace provisional response/state
handshake-finish-gate|responder establishes before authenticated FINISH|crates/hydra-msg/src/handshake/finish.rs|crates/hydra-msg/src/tests/handshake_lifecycle.rs|responder_is_provisional_until_authenticated_finish|install responder session on RESP or bypass FINISH state transition
handshake-finish-auth|tampered or transcript-mismatched FINISH is accepted|crates/hydra-msg/src/codec/handshake.rs|crates/hydra-msg/src/tests/handshake_lifecycle.rs|tampered_resp_and_finish_fail_without_responder_install|bypass FINISH AEAD/header/transcript/session validation
handshake-init-retry|initiator timeout retry creates a second cryptographic INIT|crates/hydra-msg/src/handshake/initiate.rs|crates/hydra-msg/src/tests/handshake_competing.rs|repeated_initiator_retry_reuses_identical_init_and_pending_state|bypass pending INIT reuse or refresh pending attempt entropy
handshake-competing-order|delayed authenticated handshake traffic replaces a newer session|crates/hydra-msg/src/handshake/helpers.rs|crates/hydra-msg/src/tests/handshake_competing.rs|simultaneous_cross_init_uses_identity_order_and_converges_on_one_session|invert identity tie-break or retain losing provisional state
handshake-stale-finish|superseded FINISH rolls session state backward|crates/hydra-msg/src/handshake/finish.rs|crates/hydra-msg/src/tests/handshake_competing.rs|stale_finish_from_superseded_cross_init_cannot_replace_winner|skip competing-attempt retirement after session install
handshake-hostile-retransmit|retransmitted INIT creates fresh responder key material|crates/hydra-msg/src/handshake/initiate.rs|crates/hydra-msg/src/tests/handshake_hostile.rs|many_duplicate_inits_reuse_one_cached_response_and_one_session|remove accepted-INIT cache hit or regenerate responder material on replay
handshake-hostile-downgrade|protocol or suite downgrade reaches handshake state|crates/hydra-msg/src/codec/handshake.rs|crates/hydra-msg/src/tests/handshake_hostile.rs|protocol_version_and_suite_downgrade_attempts_are_rejected|weaken protocol-version or fixed-suite parsing
handshake-hostile-weak-key|all-zero X25519 or invalid ML-KEM input reaches provisional state|crates/hydra-msg/src/handshake/initiate.rs|crates/hydra-msg/src/tests/handshake_hostile_crypto.rs|all_zero_x25519_and_invalid_mlkem_init_fail_before_cache_install|bypass weak-key or ML-KEM encoding rejection before accepted-INIT install
handshake-hostile-transcript|validly signed RESP can substitute a different INIT transcript|crates/hydra-msg/src/handshake/finish.rs|crates/hydra-msg/src/tests/handshake_hostile_crypto.rs|validly_signed_transcript_substitution_is_rejected|weaken pending INIT hash lookup or transcript binding
handshake-competing-selector-matrix|contact/purpose/identity/candidate selector drift accepts or retires the wrong competing handshake|crates/hydra-msg/src/handshake/helpers.rs|crates/hydra-msg/src/handshake/helpers/tests/matrix.rs|competing_helper_selectors_require_every_contact_purpose_identity_and_candidate_dimension|invert each contact/purpose/identity/candidate predicate independently
handshake-finish-header-matrix|FINISH with a wrong outer mode or nonzero counter reaches authenticated processing|crates/hydra-msg/src/handshake/finish.rs|crates/hydra-msg/src/tests/handshake_lifecycle.rs|finish_outer_mode_and_counter_are_independent_requirements|invert FINISH mode/counter requirements independently
compact-receive-bounds|compact carrier accepts truncated oversized or non-Lite transport envelopes|crates/hydra-session/src/session/receive.rs|crates/hydra-session/src/session/receive/tests.rs|compact_receive_enforces_exact_transport_bounds_and_lite_header|mutate compact minimum/maximum arithmetic or Lite-class requirement
compact-receive-domain|compact carrier accepts non-data or oversized authenticated record content|crates/hydra-session/src/session/receive.rs|crates/hydra-session/src/session/receive/tests.rs|compact_encoding_requires_lite_data_and_bounded_content_independently|invert compact class/content-kind/content-size predicates
